Година,Кількість
0,48
1,21
2,9
3,5
4,6
5,40
6,181
7,506
8,719
9,357
10,179
11,228
12,265
13,284
14,298
15,324
16,438
17,867
18,823
19,579
20,435
21,337
22,242
23,172
0,94
1,51
2,15
3,5
4,14
5,33
6,151
7,430
8,653
9,366
10,216
11,286
12,403
13,393
14,376
15,377
16,558
17,823
18,693
19,467
20,385
21,333
22,321
23,222
0,40
1,14
2,9
3,4
4,9
5,23
6,37
7,145
8,474
9,250
10,91
11,121
12,168
13,225
14,219
15,237
16,332
17,723
18,642
19,463
20,362
21,273
22,164
23,74
0,35
1,14
2,15
3,8
4,10
5,37
6,161
7,480
8,673
9,328
10,180
11,230
12,292
13,272
14,227
15,259
16,334
17,811
18,795
19,514
20,458
21,276
22,291
23,125
