Запас ходу,Ціна,Привід
160,38000,Передній
180,32646,Передній
185,31681,Передній
190,31900,Передній
190,33246,Передній
195,21421,Передній
195,24534,Передній
195,20129,Передній
220,29234,Передній
220,30000,Передній
225,25500,Передній
230,33133,Передній
235,34400,Передній
250,34459,Передній
250,34361,Передній
440,40936,Задній
425,45000,Задній
420,45000,Задній
420,40000,Задній
390,45000,Задній
360,46900,Задній
350,33000,Задній
340,38987,Задній
340,35575,Задній
320,37500,Задній
310,46380,Задній
290,35000,Задній
270,30000,Задній
235,38017,Задній
230,41526,Задній
